model,dataset,output_len,mse,mae
PatchTST,Traffic,avg,0.481,0.3
Crossformer,Traffic,avg,0.55,0.304
DLinear,Traffic,avg,0.625,0.383
PatchMLP,Weather,96,0.15115,0.19102
TQNet,Weather,96,0.157,0.2
MMK,Weather,96,0.171026096,0.220500804
TimeXer,Weather,96,0.157,0.205
CycleNet,Weather,96,0.158,0.203
iTransformer,Weather,96,0.174,0.214
MSGNet,Weather,96,0.163,0.212
TimesNet,Weather,96,0.172,0.22
PatchTST,Weather,96,0.177,0.21
Crossformer,Weather,96,0.158,0.23
DLinear,Weather,96,0.196,0.255
PatchMLP,Weather,192,0.19994,0.23797
TQNet,Weather,192,0.206,0.245
MMK,Weather,192,0.219878893,0.263412468
TimeXer,Weather,192,0.204,0.247
CycleNet,Weather,192,0.207,0.247
iTransformer,Weather,192,0.221,0.254
MSGNet,Weather,192,0.211,0.254
TimesNet,Weather,192,0.219,0.261
PatchTST,Weather,192,0.225,0.25
Crossformer,Weather,192,0.206,0.277
DLinear,Weather,192,0.237,0.296
PatchMLP,Weather,336,0.25797,0.28227
TQNet,Weather,336,0.262,0.287
MMK,Weather,336,0.276913859,0.302418716
TimeXer,Weather,336,0.261,0.29
CycleNet,Weather,336,0.262,0.289
iTransformer,Weather,336,0.278,0.296
MSGNet,Weather,336,0.273,0.299
TimesNet,Weather,336,0.28,0.306
PatchTST,Weather,336,0.278,0.29
Crossformer,Weather,336,0.272,0.335
DLinear,Weather,336,0.283,0.335
PatchMLP,Weather,720,0.34237,0.33904
TQNet,Weather,720,0.344,0.342
MMK,Weather,720,0.360217556,0.354036555
TimeXer,Weather,720,0.34,0.341
CycleNet,Weather,720,0.344,0.344
iTransformer,Weather,720,0.358,0.349
MSGNet,Weather,720,0.351,0.348
TimesNet,Weather,720,0.365,0.359
PatchTST,Weather,720,0.354,0.34
Crossformer,Weather,720,0.398,0.418
DLinear,Weather,720,0.345,0.381
PatchMLP,Weather,avg,0.2378575,0.262575
TQNet,Weather,avg,0.242,0.269
MMK,Weather,avg,0.257009101,0.28509213575
TimeXer,Weather,avg,0.241,0.271
CycleNet,Weather,avg,0.243,0.271
iTransformer,Weather,avg,0.258,0.278
MSGNet,Weather,avg,0.249,0.278
TimesNet,Weather,avg,0.259,0.287
PatchTST,Weather,avg,0.259,0.273
Crossformer,Weather,avg,0.259,0.315
DLinear,Weather,avg,0.265,0.317
PatchMLP,PEMS03,12,0.06248,0.16212
TQNet,PEMS03,12,0.06,0.161
MMK,PEMS03,12,0.08651,0.19478
TimeXer,PEMS03,12,0.07,0.173
